0.00,0.00,0.00,0.00,0.00,3.32,2.83,3.00,2.83,3.32
0.00,0.00,0.00,0.00,0.00,3.32,2.83,3.32,2.00,3.61
0.00,0.00,0.00,0.00,0.00,3.46,3.32,2.83,3.00,3.46
0.00,0.00,0.00,0.00,0.00,3.00,3.16,2.65,2.83,3.00
0.00,0.00,0.00,0.00,0.00,2.65,3.16,3.00,3.74,3.00
3.32,3.32,3.46,3.00,2.65,0.00,0.00,0.00,0.00,0.00
2.83,2.83,3.32,3.16,3.16,0.00,0.00,0.00,0.00,0.00
3.00,3.32,2.83,2.65,3.00,0.00,0.00,0.00,0.00,0.00
2.83,2.00,3.00,2.83,3.74,0.00,0.00,0.00,0.00,0.00
3.32,3.61,3.46,3.00,3.00,0.00,0.00,0.00,0.00,0.00
