0.00,0.00,0.00,0.00,0.00,3.61,2.83,3.61,4.12,3.74
0.00,0.00,0.00,0.00,0.00,3.87,2.83,3.00,2.24,3.74
0.00,0.00,0.00,0.00,0.00,3.46,3.00,3.46,3.74,3.87
0.00,0.00,0.00,0.00,0.00,2.65,3.46,3.32,4.12,3.16
0.00,0.00,0.00,0.00,0.00,3.16,3.32,3.46,3.46,3.61
3.61,3.87,3.46,2.65,3.16,0.00,0.00,0.00,0.00,0.00
2.83,2.83,3.00,3.46,3.32,0.00,0.00,0.00,0.00,0.00
3.61,3.00,3.46,3.32,3.46,0.00,0.00,0.00,0.00,0.00
4.12,2.24,3.74,4.12,3.46,0.00,0.00,0.00,0.00,0.00
3.74,3.74,3.87,3.16,3.61,0.00,0.00,0.00,0.00,0.00
