0.00,0.00,0.00,0.00,0.00,18.00,14.00,17.00,13.00,15.00
0.00,0.00,0.00,0.00,0.00,17.00,15.00,18.00,18.00,16.00
0.00,0.00,0.00,0.00,0.00,14.00,14.00,17.00,18.00,17.00
0.00,0.00,0.00,0.00,0.00,18.00,16.00,18.00,18.00,17.00
0.00,0.00,0.00,0.00,0.00,18.00,17.00,17.00,14.00,15.00
18.00,17.00,14.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00
14.00,15.00,14.00,16.00,17.00,0.00,0.00,0.00,0.00,0.00
17.00,18.00,17.00,18.00,17.00,0.00,0.00,0.00,0.00,0.00
13.00,18.00,18.00,18.00,14.00,0.00,0.00,0.00,0.00,0.00
15.00,16.00,17.00,17.00,15.00,0.00,0.00,0.00,0.00,0.00
