0.00,0.00,0.00,0.00,0.00,2.00,2.65,2.65,2.65,2.65
0.00,0.00,0.00,0.00,0.00,2.45,2.65,3.00,2.65,2.65
0.00,0.00,0.00,0.00,0.00,3.16,2.65,2.65,2.24,1.73
0.00,0.00,0.00,0.00,0.00,2.65,2.45,3.16,2.83,2.45
0.00,0.00,0.00,0.00,0.00,3.46,2.65,2.24,2.65,2.24
2.00,2.45,3.16,2.65,3.46,0.00,0.00,0.00,0.00,0.00
2.65,2.65,2.65,2.45,2.65,0.00,0.00,0.00,0.00,0.00
2.65,3.00,2.65,3.16,2.24,0.00,0.00,0.00,0.00,0.00
2.65,2.65,2.24,2.83,2.65,0.00,0.00,0.00,0.00,0.00
2.65,2.65,1.73,2.45,2.24,0.00,0.00,0.00,0.00,0.00
