0.00,0.00,0.00,0.00,0.00,2.65,2.24,2.45,2.83,2.45
0.00,0.00,0.00,0.00,0.00,2.65,1.73,2.83,2.00,2.45
0.00,0.00,0.00,0.00,0.00,2.00,2.45,2.24,2.24,2.24
0.00,0.00,0.00,0.00,0.00,2.00,2.45,2.24,2.24,2.24
0.00,0.00,0.00,0.00,0.00,2.24,2.24,2.00,2.00,2.00
2.65,2.65,2.00,2.00,2.24,0.00,0.00,0.00,0.00,0.00
2.24,1.73,2.45,2.45,2.24,0.00,0.00,0.00,0.00,0.00
2.45,2.83,2.24,2.24,2.00,0.00,0.00,0.00,0.00,0.00
2.83,2.00,2.24,2.24,2.00,0.00,0.00,0.00,0.00,0.00
2.45,2.45,2.24,2.24,2.00,0.00,0.00,0.00,0.00,0.00
